loan_id,fico,ltv,quarter,quarter_num,risk_segment,loan_amount,purpose
LN000454,657,93,2024-Q4,8,Subprime,394776,Purchase
LN000033,662,100,2024-Q4,8,Subprime,371918,Purchase
LN000486,664,77,2024-Q4,8,Subprime,158506,Refinance
LN000232,667,84,2024-Q4,8,Subprime,134137,Purchase
LN000162,669,71,2024-Q4,8,Subprime,167288,Purchase
LN000216,670,85,2024-Q4,8,Subprime,277565,Purchase
LN000273,670,91,2024-Q4,8,Subprime,150325,Refinance
LN000212,672,74,2024-Q4,8,Subprime,171473,Purchase
LN000060,674,59,2024-Q4,8,Subprime,453473,Purchase
LN000223,678,84,2024-Q4,8,Subprime,408236,Refinance
LN000293,680,73,2024-Q4,8,Near Prime,222555,Refinance
LN000459,683,100,2024-Q4,8,Near Prime,246893,Purchase
LN000099,687,69,2024-Q4,8,Near Prime,263331,Purchase
LN000224,687,86,2024-Q4,8,Near Prime,375498,Refinance
LN000385,690,95,2024-Q4,8,Near Prime,511532,Refinance
LN000243,691,104,2024-Q4,8,Near Prime,546831,Purchase
LN000228,695,78,2024-Q4,8,Near Prime,339391,Refinance
LN000471,696,88,2024-Q4,8,Near Prime,262849,Purchase
LN000219,699,78,2024-Q4,8,Near Prime,102826,Purchase
LN000313,699,70,2024-Q4,8,Near Prime,390786,Purchase
LN000348,704,73,2024-Q4,8,Near Prime,182128,Purchase
LN000428,704,72,2024-Q4,8,Near Prime,402624,Refinance
LN000309,706,74,2024-Q4,8,Near Prime,124613,Purchase
LN000184,707,79,2024-Q4,8,Near Prime,385832,Purchase
LN000233,707,87,2024-Q4,8,Near Prime,246957,Refinance
LN000489,714,89,2024-Q4,8,Near Prime,225586,Purchase
LN000467,716,73,2024-Q4,8,Near Prime,214273,Purchase
LN000327,717,97,2024-Q4,8,Near Prime,288547,Purchase
LN000406,718,66,2024-Q4,8,Near Prime,210083,Purchase
LN000244,720,103,2024-Q4,8,Prime,188417,Refinance
LN000269,720,70,2024-Q4,8,Prime,449186,Purchase
LN000332,720,99,2024-Q4,8,Prime,165843,Refinance
LN000203,721,88,2024-Q4,8,Prime,312917,Purchase
LN000514,721,58,2024-Q4,8,Prime,465610,Purchase
LN000221,724,82,2024-Q4,8,Prime,415350,Purchase
LN000283,724,69,2024-Q4,8,Prime,286356,Purchase
LN000185,725,65,2024-Q4,8,Prime,233020,Refinance
LN000279,725,96,2024-Q4,8,Prime,423396,Refinance
LN000271,729,76,2024-Q4,8,Prime,318851,Refinance
LN000010,733,74,2024-Q4,8,Prime,210101,Purchase
LN000058,735,59,2024-Q4,8,Prime,311992,Purchase
LN000068,735,67,2024-Q4,8,Prime,268577,Purchase
LN000083,737,75,2024-Q4,8,Prime,492471,Purchase
LN000278,738,98,2024-Q4,8,Prime,263952,Purchase
LN000351,738,87,2024-Q4,8,Prime,215637,Refinance
LN000359,738,85,2024-Q4,8,Prime,496911,Refinance
LN000469,738,104,2024-Q4,8,Prime,358628,Purchase
LN000403,739,59,2024-Q4,8,Prime,92000,Purchase
LN000052,740,74,2024-Q4,8,Prime,226848,Purchase
LN000480,741,89,2024-Q4,8,Prime,234697,Purchase
LN000502,744,75,2024-Q4,8,Prime,300999,Purchase
LN000009,745,89,2024-Q4,8,Prime,245219,Refinance
LN000204,747,81,2024-Q4,8,Prime,296251,Refinance
LN000054,755,66,2024-Q4,8,Prime,420568,Purchase
LN000176,756,101,2024-Q4,8,Prime,306645,Purchase
LN000498,756,82,2024-Q4,8,Prime,342876,Purchase
LN000041,774,74,2024-Q4,8,Super Prime,513814,Purchase
LN000302,774,85,2024-Q4,8,Super Prime,225313,Purchase
LN000245,778,75,2024-Q4,8,Super Prime,429264,Purchase
LN000152,780,84,2024-Q4,8,Super Prime,354604,Refinance
LN000192,784,85,2024-Q4,8,Super Prime,180457,Refinance
LN000255,784,84,2024-Q4,8,Super Prime,403029,Purchase
LN000057,785,61,2024-Q4,8,Super Prime,301708,Purchase
LN000328,786,86,2024-Q4,8,Super Prime,231741,Refinance
LN000106,787,78,2024-Q4,8,Super Prime,243274,Refinance
LN000037,791,82,2024-Q4,8,Super Prime,227646,Purchase
LN000163,794,89,2024-Q4,8,Super Prime,237917,Refinance
LN000475,794,96,2024-Q4,8,Super Prime,156460,Purchase
LN000505,797,72,2024-Q4,8,Super Prime,279948,Refinance
LN000347,800,81,2024-Q4,8,Super Prime,358227,Refinance
LN000136,810,79,2024-Q4,8,Super Prime,233532,Purchase
LN000169,810,51,2024-Q4,8,Super Prime,301522,Refinance
LN000306,813,90,2024-Q4,8,Super Prime,156335,Purchase
LN000256,824,60,2024-Q4,8,Super Prime,155971,Refinance
LN000312,844,63,2024-Q4,8,Super Prime,181785,Purchase
